"address","categoryName","phone","postalCode","reviewsCount","state","title","website"
"4Vcr+C8G Budhaya Jadhav Wadi, Saki Vihar Rd, Saki Vihar, Tunga Village, Marol, Powai, Mumbai, Maharashtra 400072, India","Baby store","+91 97689 01071","400072","5","Maharashtra","Zeeshan Super Diaperss",
"R1, Ekta chawal, Chaitanya Nagar, Iit Market, Powai, Mumbai, Maharashtra 400076, India","Baby store","+91 88792 45806","400076","4","Maharashtra","Baby shine Creation",
"Khan Abdul Majid Marg, Vinobha Bhave Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India","Baby store","+91 91175 10046","400070","0","Maharashtra","Miyan Store",
"PRAMILA KUTIR, 3/504, New Mill Rd, nr. Mansi Aprt, BMC Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070, India","Children's clothing store","+91 98213 29868","400070","0","Maharashtra","Baba Baby",
"2, Mahatma Gandhi Rd, opp. Datta Mandir, Motilal Nagar, Goregaon West, Mumbai, Maharashtra 400104, India","Toy store","+91 98703 88448","400104","658","Maharashtra","Bhavya Toys",
"1st Floor, PHOENIX MARKETCITY, Shop No F, 35B & 36, Lal Bahadur Shastri Marg, Kurla, Mumbai, Maharashtra 400070, India","Toy store","+91 70816 32328","400070","1933","Maharashtra","Hamleys- The finest toy shop in the world","https://stores.hamleys.in/hamleys-the-finest-toy-shop-in-the-world-toy-shop-kurla-mumbai-433026/Home"
"Shop No.4, Lal Bahadur Shastri Marg, opp. Sheetal Cinema, Kurla West, Kurla, W, Mumbai, Maharashtra 400070, India","Baby clothing store","+91 98205 39946","400070","18","Maharashtra","Kids Zone",
"3RJR+27W Noor baby diaper, Willingdon, santacruz (w, Mumbai, Maharashtra 400054, India","Baby store",,,"0",,"Santacruz west",
"Bhatti Pada Rd, Battipada, Bhandup West, Mumbai, Maharashtra 400078, India","Children's clothing store","+91 97571 13515","400078","40","Maharashtra","Sundaram Readymade New Born And Kids Wear, Bhandup, Mumbai",
"Shop No 61, House, Hira Kumbhar Chawl, Sg Barve Marg West, Kurla W Sta Rd, near Model Talkies, Kurla West, Mumbai, Maharashtra 400024, India","Baby store","+91 99202 76846","400024","0","Maharashtra","Baby Care",
"Building No. 14, Vaishali CHS, Shop no12, opposite Shayadri Ground, Tilak Nagar, Kurla, Mumbai, Maharashtra 400089, India","Baby clothing store",,"400089","9","Maharashtra","Cuddles Babies & Kids wear",
"First Floor, Kannada Welfare Society, next to Sunil Restaurant & Bar, behind 90 Feet Road, Railway Police Colony, Ghatkopar East, Mumbai, Maharashtra 400075, India","Baby clothing store","+91 91377 97974","400075","22","Maharashtra","Little Hatchlings","https://www.littlehatchlings.in/"
"Shop No 02 /12 Jayi Home Buddha Vikar Society, No 01, Kurla E, Mumbai, Maharashtra 400071, India","Baby store","+91 99209 68921","400071","0","Maharashtra","Kgn Diaper Depot",
"Nav Palmyra, 101, 21st Rd, Bandra West, Mumbai, Maharashtra 400050, India","Baby store","+91 96199 95004","400050","0","Maharashtra","BabyLu",
"3R8M+R8C, Sita Mahal, Opposite Khar Telephone Exchange, Linking Road, khar West, Mumbai, Maharashtra 400052, India","Children's clothing store","+91 22 2605 7407","400052","45","Maharashtra","Choose-N-Cherry Kids Wear",
"1st Floor, Durian Estate, A/106, Mulund - Goregaon Link Rd, Hanuman Tekdi, Goregaon, Mumbai, Maharashtra 400063, India","Store","+91 81690 90990","400063","85","Maharashtra","Ekaas Life","https://ekaaslife.com/"
"SHOP NO. 4 & 5 RAMDAS NAYAK MARG ( HILL, ROAD, Bandra West, Mumbai, Maharashtra 400050, India","Baby store","+91 99203 51772","400050","34","Maharashtra","DESIGN TOUCH",
"Shop No - F, Kamani, PHOENIX MARKETCITY, 63, Lal Bahadur Shastri Marg, Patelwadi.Kurla, Kurla West, Kurla, Mumbai, Maharashtra 400070, India","Children's clothing store","+91 22 4971 1409","400070","87","Maharashtra","Mothercare","https://www.mothercare.in/"
"Shop No.16, Road No. 19, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India","Baby store","+91 98678 44843","400071","28","Maharashtra","Festoons Nx - Little Details",
"108, Raheja Plaza, Off Veera Desai Rd, Industrial Area, Andheri West, Mumbai, Maharashtra 400053, India","Baby store",,"400053","0","Maharashtra","Windmill baby","https://windmillbaby.com/"
"Shop No. 1, Plot No. 18, Swami Vivekananda Rd, near Khar Masjid, Khar, Old, Khar West, Mumbai, Maharashtra 400052, India","Toy store","+91 99878 63642","400052","54","Maharashtra","Little Thumbs - The Toy Store","https://www.instagram.com/littlethumbs.in?igsh=MWQ3aDZocXV4ZHgxMg=="
"Gr-2, Josephine villa Josephine apartments, 44, St Andrews Rd, Bandra West, Mumbai, Maharashtra 400050, India","E-commerce service","+91 85913 85067","400050","1","Maharashtra","Cubkins Products Pvt Ltd","http://www.cubkins.com/"
"Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053, India","Baby clothing store","+91 96198 23360","400053","17","Maharashtra","Aby Baby",
"Shop no 18, Linkway Estate, CTS no 1093, New Link Rd, near Greens Restaurant & Bata, behind Glass House, Malad, Ram Nagar, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 83558 06874","400064","1","Maharashtra","Snowhite Baby Products",
"Shop No 302, Infinity Mall, New Link Rd, next to Goregaon Sports Club, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064, India","Baby clothing store","+91 93244 94084","400064","202","Maharashtra","Mothercare","https://stores.mothercare.in/mothercare-infiniti-malad-baby-clothes-malad-west-mumbai-298157/Home?utm_source=locator&utm_medium=googleplaces"
"Natraj Market, Shop No. 22 A,(1) Durga Galli, SV Rd, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 99879 98426","400064","17","Maharashtra","Kanchan Kids-Baby Care products & Kids Wear In Malad Mumbai",
"Unit No 17, 2nd Flr, Jio World Drive Mall, Bandra Kurla Complex Rd, near MAKER MAXITY, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India","Baby clothing store","+91 85914 04166","400051","206","Maharashtra","Mothercare","https://stores.mothercare.in/mothercare-jio-world-drive-baby-clothes-bandra-east-mumbai-298156/Home?utm_source=locator&utm_medium=googleplaces"
"Shop No. A/12, Natraj Market, SV Rd, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India","Baby store",,,"35",,"Mom's Baby",
"Shop No. 1, Teresa Triumph CHS, opp. blue fox hotel, beside Sukhdayak Society, Bamanpuri, J.B. Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400059, India","Baby clothing store","+91 72081 95597","400059","97","Maharashtra","MABEL BABY STORE",
"No. 3, 2/16 , Unnath Nagar, Mahatma Gandhi Rd, opp. Nutan Oil, Goregaon West, Mumbai, Maharashtra 400104, India","Baby store","+91 88798 47276","400104","16","Maharashtra","Mini world Baby Store",
"Shop No. 12 & 13, Ground Floor, Kothari Mall, Swami Vivekananda Rd, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 98331 45929","400064","32","Maharashtra","Toddlerz Heaven",
"Samkeet Apartments, Sant, Sant Janabai Rd, off Hanuman Road, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India","Baby store","+91 93244 91533","400057","38","Maharashtra","Kicks & Crawl","https://kicksandcrawl.com/"
"KABRA AURUM, B1501, 2, opp. Venus Charitable Trust's Joggers Park, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400104, India","Baby store","+91 93200 08055","400104","704","Maharashtra","HOOPA Baby Store","http://www.hoopa.in/"
"L.G.8, Vaishali Arcade, Vaikunthlal Mehta Rd, next to Options Fashion Mall, Yamuna Nagar, Nehru Nagar, JVPD Scheme, Juhu, Mumbai, Maharashtra 400049, India","Baby store","+91 98195 63662","400049","489","Maharashtra","Green Bell","http://greenbellonline.com/"
"shop no.2, pioneer heritage resi-2, Sane Guruji Rd, next to sane guruji school, Khira Nagar, Santacruz (West), Mumbai, Maharashtra 400054, India","Baby store","+91 99308 64735","400054","41","Maharashtra","SUPER KIDS",
"Shop No .18, Linkway Estate, New Link Rd, behind Hotel Green 's, next to Shakti Motors, Malad, Ram Nagar, Malad West, Mumbai, Maharashtra 400064, India","Baby store","+91 83558 06874","400064","83","Maharashtra","Pink Bunny Baby Store, Malad",
"Shop No 2, Marol Maroshi Rd, opp. Bhavani Nagar, Mahavir Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059, India","Baby clothing store","+91 99673 50976","400059","59","Maharashtra","First Smile New Born Paradise",
"A, Agrawal Market, Shop no 3 Shyam Kamal, Tejpal Rd, opp. Dinanath Hall, Vile Parle East, Mumbai, Maharashtra 400057, India","Baby store","+91 91369 29928","400057","28","Maharashtra","BABIRO vile parle Mumbai","http://www.babiro.in/"
"Ground & First Floor, Rajyog Residency, Dr Rajendra Prasad Rd, Kadam Pada, Gavane Pada, Vardhman Nagar, Mulund West, Mumbai, Maharashtra 400080, India","Store","+91 96070 01730","400080","1341","Maharashtra","Babyhug Store Mumbai Mulund","http://www.firstcry.com/"
"shop no.1, vazvilla chs, I C Colony, Borivali West, Mumbai, Maharashtra 400103, India","Baby clothing store","+91 22 2893 5504","400103","0","Maharashtra","Baby's Choice",
"Cooperative Housing Society, Housing Society LTD, Shop No 19, D - Wing, Shyam Kamal Road, opposite Sahakari Bhandar, Agarwal Market, Vile Parle East, Mumbai, Maharashtra 400057, India","Baby store","+91 93722 52224","400057","25","Maharashtra","Baby Safari","https://www.instagram.com/baby_safari__"
"Upper Ground Floor - 13, Sainath Plaza, Mulund Railway Station, Patil's, Pandit Jawaharlal Nehru Rd, nr. Mulund West, Mulund West, Mumbai, Maharashtra 400080, India","Baby store","+91 91372 73838","400080","79","Maharashtra","Titapu, Baby & Kids Clothing Discount Store",
"Shop No.5, Supreme Madhukar Building, Shimpoli Rd, Kastur Park, Borivali West, Mumbai, Maharashtra 400092, India","Baby clothing store","+91 98197 14978","400092","15","Maharashtra","Valkan Fashion 4 Kids",
"2, Jagdish Shetty Rd, Kandivali, Ekta Nagar, Kandivali West, Mumbai, Maharashtra 400067, India","Baby clothing store","+91 88793 90081","400067","3","Maharashtra","New fashion point",
"Sapphire Heights, Akurli Rd, Kandivali, Green Hills, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101, India","Baby store","+91 89289 11801","400101","41","Maharashtra","KinderCanteen",
"shop no 9, gemini bulilding, Marve Rd, near st judes school paly ground, Malad, Divya Park, Jankalyan Nagar, Malad West, Mumbai, Maharashtra 400097, India","Children's clothing store","+91 90049 06182","400097","25","Maharashtra","Lil fly kids and new born shop",
"Shantinath Shopping Centre, SV Rd, Malad, Navy Colony, Mamledarwadi, Malad West, Mumbai, Maharashtra 400064, India","Baby clothing store","+91 96191 82323","400064","20","Maharashtra","Tiny Trends","http://www.twothree.in/"
"Shop no.8, Shiv Shrushti, New Link Rd, opp. Nirman Diagnostic centre, Kandivali, Satya Nagar, Kandivali West, Mumbai, Maharashtra 400067, India","Toy store","+91 72728 84747","400067","914","Maharashtra","Maru Collection","http://marucollection.com/"
"B-105, Farid Estate Rd, Kandivali, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India","Baby store","+91 74002 29966","400101","29","Maharashtra","Dumbledo","https://www.dumbledo.com/"
"Shop no. 15, Navrang wadi, Akurli Rd, Hanuman Nagar, Kandivali East, Mumbai, Maharashtra 400101, India","Baby clothing store",,"400101","4","Maharashtra","Om kids wear",
"Shop No.47 Ground Floor, Centrium Mall, opp. Mahada no.1, Kandivali, MHADA Colony, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101, India","Baby clothing store","+91 74004 81757","400101","25","Maharashtra","The Jaksh Baby Kids Wear",
"Lalji Shopping Centre, 12-13, Swami Vivekananda Rd, Gyan Nagar, Borivali West, Mumbai, Maharashtra 400092, India","Children's clothing store","+91 22 2898 0883","400092","86","Maharashtra","Variety Kids",
"Shop no 2, A, 02, Thakur Rd, opp. Thakur cinema, Thakur, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India","Baby clothing store","+91 99209 75154","400101","39","Maharashtra","Little Baby",
"Shukla Shopping Centre, Main Carter Rd, opposite 3rd carter road, Chinchpada, Borivali East, Mumbai, Maharashtra 400066, India","Children's clothing store","+91 98670 27450","400066","181","Maharashtra","The Little Rabbits","https://d-thelittlerabbits.dotpe.in/"
"CHANDAWARKAR ROAD, Raichura Cir, opp. JOYALIKKAS JWELLERS, next to BATA SHOP, Mumbai, Maharashtra 400092, India","Toy store","+91 83698 64543","400092","17","Maharashtra","LITTLE WONDER NX",
"Shop No 7, Shree Vallabh, Mathuradas Road, next to param gold, opp. lijat papad Kandivali, Kandivali, Bhagat Colony, W, Mumbai, Maharashtra 400067, India","Toy store","+91 81049 95709","400067","233","Maharashtra","House of Toys",
"Shop No. 4, Royal House, Mathuradas Road, below Kapol Bank, Kandivali, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store","+91 98706 26343","400067","0","Maharashtra","Born Baby",
"Shop Number 8, Dev Chhaya Building, Bharucha Rd, Maratha Colony, Dahisar East, Mumbai, Maharashtra 400068, India","Children's clothing store",,"400068","11","Maharashtra","Alpa Readymade Centre",
"Padam Kids, A-1102, Eksar Rd, behind Dr. Manish Batt, CKP Colony, Borivali West, Mumbai, Maharashtra 400091, India","Manufacturer","+91 80801 64616","400091","57","Maharashtra","Padam Kids","https://www.indiamart.com/padam-kids/"
"Shop No-19, 2A, HIGHWAY PARK, E-2, Asha Nagar Rd, Kandivali, Gokul Heven, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India","Baby clothing store","+91 98706 57070","400101","14","Maharashtra","Sakshi Baby",
"Shop 9 Tavas Shopping Centre, opposite Railway Station, Kandivali West, Mumbai, Maharashtra 400067, India","Baby store","+91 90824 92728","400067","36","Maharashtra","Kandivali Diaper Point",
"3V6X+6P4, 20a, Rd No. 1, near B.M.C Office, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India","Baby store",,"400071","11","Maharashtra","Little Angels",
"Kusum Bharti, No. 201 Gorai Jeevandhara CHS Limited, Dattapada Rd, opposite Tata Steel, Borivali East, Mumbai, Maharashtra 400066, India","Baby store","+91 93242 40347","400066","17","Maharashtra","ITSYYBOO",
"Rd No. 1, near Ambedkar Garden, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India","Baby store",,"400071","5","Maharashtra","Festoons (For New Borns to Toddlers)",
"Sitaram Niwas, 4, Rd No. 1, opposite BMC Office, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India","Clothing store","+91 85917 34477","400071","0","Maharashtra","Baby Kraft",
"Flat no 302, Shree Saraswati CHS, Bldg B-1, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071, India","Baby store","+91 90828 14408","400071","99","Maharashtra","Little And Wise","http://www.littleandwise.in/"
"Sai Kiran Apartments, Central Aveneu Road, Dayanand Saraswati Rd, Mahadeo Wadi, Chembur, Mumbai, Maharashtra 400071, India","Baby store","+91 86527 67395","400071","18","Maharashtra","Tiny Tots",
"Shop No.6 Laxmi Market, N.G.Acharya Marg, Station Road, Chembur, Acharya Marg, Chembur Gaothan, Chembur East, Mumbai, Maharashtra 400071, India","Baby clothing store","+91 75060 15761","400071","1","Maharashtra","Sunder Stores",
"Shop no.3, Bldg, RB Mehta Marg, opp. Sweet County, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India","Toy store","+91 73041 85626","400077","125","Maharashtra","Blue Tango Infants & Toys Store","https://www.bluetango.in/"
"Shop No-12, Jalaram Nagar No-3, V B Lane, Ghatkopar(E), Mumbai, Maharashtra 400077, India","Baby clothing store","+91 98690 67969","400077","27","Maharashtra","Natkhat",
"Shop No.03, Zaver Mahal, RB Mehta Marg, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India","Children's store","+91 98339 25575","400077","272","Maharashtra","Blue Tango Toys Gifts and Novelty Store","http://www.bluetango.in/"
"Santacruz Railway Station Rd, near DINAR BUILDING, opposite Keravala Lodge, Navin Nagar, Willingdon, Santacruz (West), Mumbai, Maharashtra 400054, India","Baby store","+91 99679 58204","400054","5","Maharashtra","ALIZA DIAPERS",
"Media Complex, St Paul, 24th Road, Bandra West, Mumbai, Maharashtra 400050, India","Children's store","+91 99872 91674","400050","39","Maharashtra","Pinklay Kids","https://www.pinklay.com/"
"Shop Number 3, Nari Seva Sadan Rd, Asalpha village, Ghatkopar West, Mumbai, Maharashtra 400084, India","Baby store","+91 99876 41437","400084","2","Maharashtra","Aadi Baby Care",
"nursing home, G5, swastik Chambers, Pipe Line Rd, below Kurla, Kurla West, Mumbai, Maharashtra 400070, India","Toy store","+91 70478 74787","400070","63","Maharashtra","ZIZI TOYS","https://mybillbook.in/store/zizi_toys"
"Shop no 41, Dwarka Building, no3, Station Road, near Nityanand hotel, MHADA Colony, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India","Baby store",,,"6",,"AAI Agency wholesale diaper.",
"opp. City Plaza, next to Dinar Building, Bajaj Wadi, Railway Colony, Santacruz (West), Mumbai, Maharashtra 400054, India","Baby store","+91 99679 58204","400054","3","Maharashtra","54 Kids Street",
"Road No. 14, Indra Nagar, Indira Nagar, Baiganwadi, Govandi East, Mumbai, Maharashtra 400043, India","Baby clothing store","+91 95946 84387","400043","1","Maharashtra","Sony Diaper",
"SHOP NO 5 , BUILDING NO 1, bellona, 90 Feet Rd, near SHIVAJI TECHNICAL SCHOOL, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075, India","Baby clothing store","+91 99693 60452","400075","4","Maharashtra","KIDORRAH","https://www.kidorrah.com/"
"Shop No.26, Bhairav Bazar, Narayan Gajanan Acharya Marg, opposite Laxmi Market, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India","Clothing store","+91 80804 40445","400071","29","Maharashtra","Mini Moon Children's Wear",
"193, CG Rd, Chembur Colony, Indira Nagar, Chembur - 74, Mumbai, Maharashtra 400074, India","Children's clothing store","+91 98678 81566","400074","18","Maharashtra","Cotton Stock Kid's Wear","http://www.instagram.com/cottonstockkidswear"
